team,team_id_x,year,primary_pos_formatted,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted,team_id_y,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,is_wildcard
Nationals,120,2016,,-5,5,0,-10,-1,3,-8,78%,78%,0%,WSH,6201.0,4349.0,0.256,0.248,0.008,0.426,0.417,0.009,0.322,0.321,0.001,0
Nationals,120,2020,,-13,-4,-2,-7,2,-7,-5,76%,77%,-1%,WSH,2218.0,1543.0,0.264,0.257,0.007,0.433,0.42,0.013,0.33,0.328,0.002,0
Nationals,120,2017,,-14,6,-14,1,-7,-5,-10,78%,79%,-1%,WSH,6214.0,4314.0,0.266,0.256,0.01,0.449,0.432,0.017,0.331,0.324,0.007,0
Nationals,120,2024,,-19,-3,-14,4,-8,-12,-7,77%,78%,-1%,WSH,5971.0,4220.0,0.243,0.244,-0.001,0.375,0.369,0.006,0.3,0.302,-0.002,0
Nationals,120,2021,,-24,4,-4,-18,-7,-28,3,78%,79%,-1%,,,,,,,,,,,,,0
Nationals,120,2025,,-33,-12,-10,-7,-4,-20,-13,76%,77%,-1%,WSH,5982.0,4129.0,0.242,0.26,-0.018,0.389,0.418,-0.0289999999999999,0.302,0.323,-0.021,0
Nationals,120,2022,,-51,-10,-20,-20,0,-30,-21,78%,79%,-1%,WSH,5998.0,4270.0,0.249,0.243,0.006,0.377,0.373,0.004,0.303,0.302,0.001,0
Orioles,110,2022,,7,-7,1,9,5,-3,10,78%,78%,0%,BAL,6049.0,4094.0,0.236,0.238,-0.002,0.39,0.392,-0.002,0.305,0.31,-0.005,0
Orioles,110,2016,,5,25,-18,-1,-1,15,-10,78%,78%,0%,BAL,6089.0,4253.0,0.256,0.252,0.004,0.443,0.445,-0.002,0.326,0.327,-0.001,1
Orioles,110,2020,,-9,-3,3,-5,-4,-14,5,79%,80%,-1%,BAL,2242.0,1537.0,0.258,0.241,0.017,0.429,0.387,0.0419999999999999,0.323,0.304,0.019,0
Orioles,110,2024,,-11,-9,-4,-4,8,-17,6,79%,79%,0%,BAL,6176.0,4259.0,0.25,0.25,0.0,0.435,0.424,0.011,0.324,0.325,-0.001,1
Orioles,110,2023,,-12,3,-18,3,0,-7,-5,79%,79%,0%,BAL,6123.0,4193.0,0.255,0.251,0.004,0.421,0.413,0.008,0.32,0.319,0.001,0
Orioles,110,2025,,-23,6,-19,-8,-3,-10,-14,77%,78%,-1%,BAL,6020.0,4004.0,0.235,0.245,-0.01,0.394,0.418,-0.0239999999999999,0.305,0.32,-0.015,0
Orioles,110,2017,,-26,0,-12,-12,-1,-11,-15,77%,78%,-1%,BAL,6139.0,4285.0,0.26,0.255,0.005,0.435,0.433,0.002,0.318,0.32,-0.002,0
