game_id,1_opener_fip,1_opener_freshness,1_others_fip,1_others_freshness,1_woba,1_ooa,1_home,1_team,1_is_wildcard,2_opener_fip,2_opener_freshness,2_others_fip,2_others_freshness,2_woba,w_ooa,2_team,2_is_wildcard,is_playoff,result
LAA_LAD_2020-08-14,4.75,144.0,5.239999999999999,48.0,0.329,-20,0,LAA,0,4.66,144.0,2.63,42.0,0.35,11,LAD,0,0,0
LAA_LAD_2020-08-15,2.79,144.0,4.706,76.8,0.329,-20,0,LAA,0,6.4,144.0,1.8575000000000002,66.0,0.35,11,LAD,0,0,0
LAA_LAD_2020-08-16,3.98,144.0,3.2433333333333336,64.0,0.35,11,1,LAD,0,10.44,144.0,3.25,108.0,0.329,-20,LAA,0,0,1
LAA_LAD_2020-09-25,3.79,144.0,3.2540000000000004,76.8,0.329,-20,1,LAA,0,3.31,144.0,2.6283333333333334,60.0,0.35,11,LAD,0,0,0
LAA_LAD_2020-09-26,8.62,144.0,4.902,264.0,0.329,-20,1,LAA,0,2.29,144.0,3.8800000000000003,80.0,0.35,11,LAD,0,0,0
LAA_LAD_2020-09-27,5.92,96.0,4.331999999999999,28.8,0.329,-20,1,LAA,0,1.67,48.0,3.7279999999999993,72.0,0.35,11,LAD,0,0,0
LAA_LAD_2021-05-07,5.02,144.0,5.23,96.0,0.31668919772583703,-22,0,LAA,0,3.4,120.0,4.67,2760.0,0.31668919772583703,-16,LAD,0,0,1
LAA_LAD_2021-05-08,2.52,96.0,4.838333333333334,64.0,0.31668919772583703,-16,1,LAD,0,3.55,144.0,4.335,68.0,0.31668919772583703,-22,LAA,0,0,1
LAA_LAD_2021-05-09,4.5,72.0,3.426666666666667,68.0,0.31668919772583703,-22,0,LAA,0,3.59,120.0,4.08,60.0,0.31668919772583703,-16,LAD,0,0,1
LAA_LAD_2021-08-06,4.15,120.0,3.604285714285715,72.0,0.31668919772583703,-16,0,LAD,0,3.92,168.0,3.6660000000000004,57.6,0.31668919772583703,-22,LAA,0,0,0
LAA_LAD_2021-08-07,4.96,168.0,4.0725,48.0,0.31668919772583703,-22,1,LAA,0,3.41,144.0,3.4539999999999997,48.0,0.31668919772583703,-16,LAD,0,0,0
LAA_LAD_2021-08-08,7.78,168.0,5.045,20466.0,0.31668919772583703,-22,1,LAA,0,3.11,120.0,1.5499999999999998,27648.0,0.31668919772583703,-16,LAD,0,0,0
LAA_LAD_2022-06-14,3.08,144.0,2.796666666666667,88.0,0.337,6,0,LAD,0,3.7,96.0,3.675,120.0,0.3,0,LAA,0,0,1
LAA_LAD_2022-06-15,5.13,168.0,4.14,456.0,0.3,0,1,LAA,0,3.07,144.0,2.16,24.0,0.337,6,LAD,0,0,0
LAA_LAD_2022-07-15,2.47,144.0,5.35,132.0,0.337,6,1,LAD,0,3.05,144.0,4.156666666666667,88.0,0.3,0,LAA,0,0,1
LAA_LAD_2022-07-16,5.25,144.0,4.296,52.8,0.3,0,0,LAA,0,3.99,144.0,3.94,84.0,0.337,6,LAD,0,0,0
LAA_LAD_2023-06-20,3.26,144.0,2.8366666666666664,80.0,0.32,-20,0,LAA,0,3.53,144.0,3.035,72.0,0.341,-4,LAD,0,0,0
LAA_LAD_2023-06-21,3.93,144.0,4.216666666666667,40.0,0.32,-20,0,LAA,0,2.85,120.0,3.9528571428571424,171.42857142833333,0.341,-4,LAD,0,0,0
LAA_LAD_2023-07-07,5.03,168.0,4.32,108.0,0.32,-20,1,LAA,0,4.61,120.0,3.5875,24.0,0.341,-4,LAD,0,0,0
LAA_LAD_2023-07-08,3.76,144.0,6.0600000000000005,192.0,0.32,-20,1,LAA,0,3.72,24.0,3.603333333333333,240.0,0.341,-4,LAD,0,0,0
LAA_LAD_2025-05-16,4.1,72.0,3.473333333333333,13644.0,0.331,12,0,LAD,0,5.31,144.0,2.37,43.2,0.302,-53,LAA,0,0,0
LAA_LAD_2025-05-17,4.88,144.0,2.608333333333333,24.0,0.302,-53,1,LAA,0,7.64,14280.0,3.268571428571429,54.85714285694444,0.331,12,LAD,0,0,1
LAA_LAD_2025-05-18,4.69,168.0,5.08,61.714285714166664,0.331,12,0,LAD,0,4.47,144.0,4.555,132.0,0.302,-53,LAA,0,0,0
LAA_LAD_2025-08-11,3.52,144.0,4.5649999999999995,288.0,0.302,-53,0,LAA,0,3.09,192.0,7.244,24.0,0.331,12,LAD,0,0,1
LAA_LAD_2025-08-12,3.25,168.0,3.592,115.2,0.331,12,1,LAD,0,6.39,864.0,3.786,40.8,0.302,-53,LAA,0,0,0
LAA_LAD_2025-08-13,4.81,120.0,3.793333333333333,20.0,0.302,-53,0,LAA,0,2.15,168.0,3.3699999999999997,48.0,0.331,12,LAD,0,0,1
