Gcar,Gtm,Date,Team,Home,Opp,Result,Series,Inngs,Dec,DR,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA,FIP,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,IR,IS,SB,CS,PO,AB,2B,3B,GIDP,SF,ROE,BAbip,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Id,GmSc,DFS(DK),DFS(FD)
6,12,2013-10-23,STL,@,BOS,"L, 1-8",WS G1,7-7,,7,0.1,0,1,0,0,0,0,0,0,0,0,2,0.00,2.38,4,4,2,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,.000,0.03,0.0,1.31,0.0%,0.03,7b --- 1 out d5,7b 1-- 2 out d5,manesse01,,,
7,14,2013-10-26,STL,,BOS,"W, 5-4",WS G3,6-6,BS(1),2,0.2,1,0,0,0,0,0,0,0,0,0,2,0.00,2.50,6,4,2,0,1,1,1,0,0,2,1,0,0,0,2,0,0,1,0,0,.500,3.09,0.0,193.92,0.4%,0.13,6t 1-3 1 out a1,6t 3 out tie,manesse01,,,
8,15,2013-10-27,STL,,BOS,"L, 2-4",WS G4,6-7,,0,1.0,2,1,1,1,0,0,1,0,0,0,5,1.93,4.98,18,13,5,1,1,3,2,0,0,2,2,0,0,0,5,0,0,0,0,0,.333,0.72,-0.4,46.16,-14.7%,-2.24,6t 12- 2 out tie,7t --- 2 out d3,manesse01,,,
9,17,2013-10-30,STL,@,BOS,"L, 1-6",WS G6,4-5,,2,0.1,0,0,0,0,0,0,1,0,0,0,1,1.80,4.45,3,3,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,,0.31,0.0,23.81,0.3%,0.77,4b 123 2 out d6,4b 3 out d6,manesse01,,,
10,1,2014-10-03,STL,@,LAD,"W, 10-9",NLDS G1,5-6,,5,0.2,0,0,0,0,0,0,1,0,0,0,2,0.00,0.13,6,5,4,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,.000,0.21,0.0,3.29,0.1%,0.83,5b 12- 1 out d5,5b 3 out d5,manesse01,,,
11,4,2014-10-07,STL,,LAD,"W, 3-2",NLDS G4,6-6,,3,0.1,1,0,0,0,0,0,0,0,0,0,1,0.00,1.13,6,3,2,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,1.000,1.53,-0.1,34.10,-1.4%,-0.60,6t 12- 2 out d1,6t 3 out d2,manesse01,,,
12,5,2014-10-11,STL,,SFG,"L, 0-3",NLCS G1,8-GF,,3,2.0,0,0,0,0,0,0,0,0,0,0,6,0.00,2.47,19,14,4,0,5,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,.000,0.12,0.0,3.09,0.3%,0.88,8t --- 0 out d3,9t 3 out d3,manesse01,,,
13,6,2014-10-12,STL,,SFG,"W, 5-4",NLCS G2,9-GF,W(1-0),0,0.1,0,0,0,0,0,0,0,0,0,0,1,0.00,2.53,5,3,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,.000,6.82,0.2,175.35,2.4%,0.73,9t 123 2 out tie,9t 3 out tie,manesse01,,,
14,7,2014-10-14,STL,@,SFG,"L, 4-5 (10)",NLCS G3,9-10,,1,1.0,0,0,0,0,0,0,0,0,0,0,3,0.00,2.67,6,4,0,1,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,.000,1.68,0.1,52.58,2.1%,0.42,9b --- 0 out tie,9b 3 out tie,manesse01,,,
15,8,2014-10-15,STL,@,SFG,"L, 4-6",NLCS G4,6-8,,0,1.1,4,0,0,0,0,0,1,0,0,0,8,0.00,2.43,26,20,4,3,4,3,2,1,0,1,1,0,0,0,8,1,0,0,0,0,.571,0.64,-0.1,20.61,-1.4%,-0.29,6b -2- 2 out d1,7b 3 out d2,manesse01,,,
